V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
2006,1,5,2,4,7,2,5,5,4,1,1
2006,1,4,2,4,4,3,5,5,1,1,1
2006,2,5,2,4,5,4,5,5,4,1,1
2006,1,5,2,4,2,5,5,5,1,2,1
2006,2,5,2,4,6,4,5,5,1,1,0
2006,1,3,1,4,4,5,4,5,1,1,0
2006,2,5,2,4,5,5,5,5,1,1,0
2006,2,3,1,4,3,5,2,5,1,1,1
2006,1,5,2,4,4,5,5,5,1,1,1
2006,2,3,1,4,6,5,3,5,1,1,1
2006,2,5,2,4,4,5,5,5,1,1,1
2006,1,4,2,4,15,5,5,5,4,1,0
2006,1,5,2,4,3,5,5,5,1,1,1
2006,2,5,2,2,3,5,5,5,1,1,1
2006,2,3,1,3,4,3,4,5,1,1,0
2006,1,5,2,3,6,5,5,5,1,1,1
2006,1,4,1,4,6,5,3,5,1,1,1
2006,2,5,2,5,4,3,5,5,5,1,1
2006,2,5,2,2,5,5,5,5,1,1,1
2006,1,5,2,3,6,5,5,5,4,1,1
2006,2,5,2,2,3,5,5,5,1,1,1
2006,2,3,2,4,4,4,5,5,1,1,1
2006,2,5,2,3,3,2,5,5,1,1,1
2006,1,5,2,4,4,2,3,5,1,2,1
2006,1,3,1,5,5,5,2,5,1,1,1
2006,2,5,2,4,7,5,5,5,4,1,1
2006,2,4,2,4,6,5,5,5,1,1,1
2006,1,5,2,4,6,3,5,5,1,1,1
2006,1,4,1,3,2,3,2,5,1,1,1
2006,2,5,2,2,3,5,5,5,1,1,1
2006,2,5,2,4,9,5,5,5,1,1,1
2006,1,5,2,3,2,5,5,5,4,1,1
2006,2,4,2,4,5,5,5,5,1,1,1
2006,2,5,2,4,5,5,5,5,1,1,1
2006,2,5,2,4,3,5,5,5,2,1,1
2006,2,3,2,4,2,2,4,5,1,1,1
2006,1,5,2,4,6,5,5,5,1,1,1
2006,2,3,2,4,5,5,4,5,1,1,1
2006,2,5,2,3,4,3,3,5,1,2,1
2006,2,5,1,3,3,5,5,5,1,1,1
2006,1,5,1,3,8,5,4,5,1,1,0
2006,1,5,2,5,4,4,5,5,1,1,1
2006,1,5,2,2,6,5,4,5,4,1,1
2006,1,5,2,5,5,4,3,5,5,1,1
2006,1,5,2,4,6,1,4,5,1,1,1
2006,1,2,1,4,5,5,2,5,1,1,1
2006,1,5,2,4,4,2,5,5,1,1,1
2006,1,4,1,4,7,4,5,5,1,1,1
2006,2,5,2,4,4,5,5,5,1,1,1
2006,1,5,2,4,5,5,5,5,5,1,1
2006,1,5,2,4,5,5,5,5,1,1,0
2006,1,3,1,4,6,4,5,5,1,1,0
2006,1,5,2,4,5,4,5,5,1,1,0
2006,2,5,1,0,2,2,5,5,5,1,1
2006,1,5,2,4,4,4,5,5,1,1,1
